time,response_code,birth_year,postal_code,lat,long,city,ine_code
"2017-09-26 14:00:11,300",NO_3_DATA,,,,,,
"2017-09-26 14:00:15,982",OK,,,,,,
"2017-09-26 14:00:25,023",NO_3_DATA,,,,,,
"2017-09-26 14:00:46,624",NOT_FOUND,,,,,,
"2017-09-26 14:00:52,733",NOT_FOUND,,,,,,
"2017-09-26 14:01:00,057",OK,,,,,,
"2017-09-26 14:01:00,163",OK,,,,,,
"2017-09-26 14:01:06,926",OK,,,,,,
"2017-09-26 14:01:07,716",BAD_DATE,,,,,,
"2017-09-26 14:01:17,199",NO_3_DATA,,,,,,
"2017-09-26 14:01:21,540",OK,,,,,,
"2017-09-26 14:01:34,272",OK,,,,,,
"2017-09-26 14:01:49,576",OK,,,,,,
"2017-09-26 14:02:04,887",OK,,,,,,
"2017-09-26 14:02:06,900",NO_3_DATA,,,,,,
"2017-09-26 14:02:13,774",NO_3_DATA,,,,,,
"2017-09-26 14:02:30,360",NO_3_DATA,,,,,,
"2017-09-26 14:02:36,647",NO_3_DATA,,,,,,
"2017-09-26 14:02:44,786",NO_3_DATA,,,,,,
"2017-09-26 14:02:46,143",OK,,,,,,
"2017-09-26 14:03:09,042",NO_3_DATA,,,,,,
"2017-09-26 14:03:10,406",OK,,,,,,
"2017-09-26 14:03:11,457",NO_3_DATA,,,,,,
"2017-09-26 14:03:11,762",NO_3_DATA,,,,,,
"2017-09-26 14:03:33,178",OK,,,,,,
"2017-09-26 14:03:37,914",OK,,,,,,
"2017-09-26 14:03:41,459",NOT_FOUND,,,,,,
"2017-09-26 14:03:43,413",OK,,,,,,
"2017-09-26 14:03:47,247",NO_3_DATA,,,,,,
"2017-09-26 14:03:51,690",OK,,,,,,
"2017-09-26 14:03:54,449",NO_3_DATA,,,,,,
"2017-09-26 14:04:04,664",NO_3_DATA,,,,,,
"2017-09-26 14:04:06,854",NOT_FOUND,,,,,,
"2017-09-26 14:04:15,566",OK,,,,,,
"2017-09-26 14:04:15,785",NO_3_DATA,,,,,,
"2017-09-26 14:04:22,353",NO_3_DATA,,,,,,
"2017-09-26 14:04:25,350",OK,,,,,,
"2017-09-26 14:04:27,718",NO_3_DATA,,,,,,
"2017-09-26 14:04:35,086",OK,,,,,,
"2017-09-26 14:04:42,495",NO_3_DATA,,,,,,
"2017-09-26 14:04:56,273",OK,,,,,,
"2017-09-26 14:04:57,176",NO_3_DATA,,,,,,
"2017-09-26 14:05:04,541",OK,,,,,,
"2017-09-26 14:05:05,090",OK,,,,,,
"2017-09-26 14:05:05,555",OK,,,,,,
"2017-09-26 14:05:12,406",NO_3_DATA,,,,,,
"2017-09-26 14:05:35,490",NO_3_DATA,,,,,,
"2017-09-26 14:05:41,604",NO_3_DATA,,,,,,
"2017-09-26 14:05:42,443",NO_3_DATA,,,,,,
"2017-09-26 14:05:43,396",NO_3_DATA,,,,,,
"2017-09-26 14:05:45,208",NO_3_DATA,,,,,,
"2017-09-26 14:05:48,764",NO_3_DATA,,,,,,
"2017-09-26 14:05:53,297",NO_3_DATA,,,,,,
"2017-09-26 14:06:04,967",OK,,,,,,
"2017-09-26 14:06:08,488",NO_3_DATA,,,,,,
"2017-09-26 14:06:12,898",OK,,,,,,
"2017-09-26 14:06:16,628",NOT_FOUND,,,,,,
"2017-09-26 14:06:20,857",NO_3_DATA,,,,,,
"2017-09-26 14:06:21,643",OK,,,,,,
"2017-09-26 14:06:23,062",NO_3_DATA,,,,,,
"2017-09-26 14:06:43,769",NO_3_DATA,,,,,,
"2017-09-26 14:06:44,010",NO_3_DATA,,,,,,
"2017-09-26 14:06:44,229",NO_3_DATA,,,,,,
"2017-09-26 14:06:44,366",OK,,,,,,
"2017-09-26 14:06:46,603",NOT_FOUND,,,,,,
"2017-09-26 14:06:47,959",OK,,,,,,
"2017-09-26 14:06:54,253",NO_3_DATA,,,,,,
"2017-09-26 14:06:57,982",BAD_DATE,,,,,,
"2017-09-26 14:06:58,871",NO_3_DATA,,,,,,
"2017-09-26 14:07:08,720",NOT_FOUND,,,,,,
"2017-09-26 14:07:09,147",OK,,,,,,
"2017-09-26 14:07:13,243",BAD_ZIP,,,,,,
"2017-09-26 14:07:16,603",OK,,,,,,
"2017-09-26 14:07:19,224",NO_3_DATA,,,,,,
"2017-09-26 14:07:24,277",NO_3_DATA,,,,,,
"2017-09-26 14:07:24,312",NOT_FOUND,,,,,,
"2017-09-26 14:07:25,822",NO_3_DATA,,,,,,
"2017-09-26 14:07:27,548",OK,,,,,,
"2017-09-26 14:07:29,336",OK,,,,,,
"2017-09-26 14:07:31,110",NOT_FOUND,,,,,,
"2017-09-26 14:07:33,057",NO_3_DATA,,,,,,
"2017-09-26 14:07:38,171",NO_3_DATA,,,,,,
"2017-09-26 14:07:41,103",NO_3_DATA,,,,,,
"2017-09-26 14:07:43,215",OK,,,,,,
"2017-09-26 14:07:43,706",OK,,,,,,
"2017-09-26 14:07:46,396",OK,,,,,,
"2017-09-26 14:07:48,561",OK,,,,,,
"2017-09-26 14:07:49,543",OK,,,,,,
"2017-09-26 14:07:49,681",NO_3_DATA,,,,,,
"2017-09-26 14:07:56,905",NO_3_DATA,,,,,,
"2017-09-26 14:07:57,805",NO_3_DATA,,,,,,
"2017-09-26 14:07:58,036",OK,,,,,,
"2017-09-26 14:07:59,077",OK,,,,,,
"2017-09-26 14:08:04,187",OK,,,,,,
"2017-09-26 14:08:06,798",NO_3_DATA,,,,,,
"2017-09-26 14:08:22,062",OK,,,,,,
"2017-09-26 14:08:28,212",NO_3_DATA,,,,,,
"2017-09-26 14:08:31,967",NOT_FOUND,,,,,,
"2017-09-26 14:08:35,582",NO_3_DATA,,,,,,
"2017-09-26 14:08:35,768",NOT_FOUND,,,,,,
"2017-09-26 14:08:53,073",BAD_DATE,,,,,,
"2017-09-26 14:08:55,318",OK,,,,,,
"2017-09-26 14:09:06,798",OK,,,,,,
"2017-09-26 14:09:07,766",NO_3_DATA,,,,,,
"2017-09-26 14:09:08,412",OK,,,,,,
"2017-09-26 14:09:12,183",NOT_FOUND,,,,,,
"2017-09-26 14:09:12,780",OK,,,,,,
"2017-09-26 14:09:36,879",NO_3_DATA,,,,,,
"2017-09-26 14:09:39,075",NO_3_DATA,,,,,,
"2017-09-26 14:09:44,865",OK,,,,,,
"2017-09-26 14:09:53,883",BAD_NIF,,,,,,
"2017-09-26 14:09:54,871",NO_3_DATA,,,,,,
"2017-09-26 14:09:56,214",OK,,,,,,
"2017-09-26 14:10:04,586",NO_3_DATA,,,,,,
"2017-09-26 14:10:05,190",OK,,,,,,
"2017-09-26 14:10:12,902",OK,,,,,,
"2017-09-26 14:10:18,361",NOT_FOUND,,,,,,
"2017-09-26 14:10:19,777",OK,,,,,,
"2017-09-26 14:10:22,363",NO_3_DATA,,,,,,
"2017-09-26 14:10:27,624",OK,,,,,,
"2017-09-26 14:10:27,664",NO_3_DATA,,,,,,
"2017-09-26 14:10:30,382",NO_3_DATA,,,,,,
"2017-09-26 14:10:36,783",OK,,,,,,
"2017-09-26 14:10:43,756",NO_3_DATA,,,,,,
"2017-09-26 14:10:46,181",OK,,,,,,
"2017-09-26 14:10:55,400",NO_3_DATA,,,,,,
"2017-09-26 14:10:55,905",NO_3_DATA,,,,,,
"2017-09-26 14:11:07,692",NO_3_DATA,,,,,,
"2017-09-26 14:11:08,731",NO_3_DATA,,,,,,
"2017-09-26 14:11:10,620",NOT_FOUND,,,,,,
"2017-09-26 14:11:13,647",OK,,,,,,
"2017-09-26 14:11:13,854",BAD_NIF,,,,,,
"2017-09-26 14:11:16,401",NO_3_DATA,,,,,,
"2017-09-26 14:11:19,661",OK,,,,,,
"2017-09-26 14:11:22,872",NO_3_DATA,,,,,,
"2017-09-26 14:11:26,908",NOT_FOUND,,,,,,
"2017-09-26 14:11:29,937",OK,,,,,,
