time,city,ine_code
"2017-09-26T15:07:37+02:00",Barcelona,08019
"2017-09-26T15:07:41+02:00",Muntanyola,08129
"2017-09-26T15:07:43+02:00",Bisbal d'Empordà, La,17022
"2017-09-26T15:07:43+02:00",Palamós,17118
"2017-09-26T15:07:47+02:00",Lleida,25120
"2017-09-26T15:07:50+02:00",Sant Pere de Torelló,08233
"2017-09-26T15:07:52+02:00",Castelló d'Empúries,17047
"2017-09-26T15:07:52+02:00",Barcelona,08019
"2017-09-26T15:07:55+02:00",Lleida,25120
"2017-09-26T15:07:57+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:08:00+02:00",Mollerussa,25137
"2017-09-26T15:08:02+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:08:07+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:08:08+02:00",Palamós,17118
"2017-09-26T15:08:13+02:00",Terrassa,08279
"2017-09-26T15:08:18+02:00",Sant Joan Despí,08217
"2017-09-26T15:08:32+02:00",Balaguer,25040
"2017-09-26T15:08:42+02:00",Premià de Mar,08172
"2017-09-26T15:08:46+02:00",Lleida,25120
"2017-09-26T15:08:46+02:00",Bisbal d'Empordà, La,17022
"2017-09-26T15:08:51+02:00",Lleida,25120
"2017-09-26T15:08:51+02:00",Olot,17114
"2017-09-26T15:09:01+02:00",Palamós,17118
"2017-09-26T15:09:04+02:00",Avinyonet del Penedès,08013
"2017-09-26T15:09:04+02:00",Corbera de Llobregat,08072
"2017-09-26T15:09:05+02:00",Palamós,17118
"2017-09-26T15:09:07+02:00",Llagostera,17089
"2017-09-26T15:09:16+02:00",Barcelona,08019
"2017-09-26T15:09:19+02:00",Caldes de Montbui,08033
"2017-09-26T15:09:22+02:00",Mollet del Vallès,08124
"2017-09-26T15:09:23+02:00",Montbrió del Camp,43088
"2017-09-26T15:09:28+02:00",Barcelona,08019
"2017-09-26T15:09:29+02:00",Massalcoreig,25131
"2017-09-26T15:09:30+02:00",Olesa de Montserrat,08147
"2017-09-26T15:09:31+02:00",Matadepera,08120
"2017-09-26T15:09:33+02:00",Sant Cugat del Vallès,08205
"2017-09-26T15:09:35+02:00",Barcelona,08019
"2017-09-26T15:09:35+02:00",Sabadell,08187
"2017-09-26T15:09:41+02:00",Ivars d'Urgell,25113
"2017-09-26T15:09:50+02:00",Barcelona,08019
"2017-09-26T15:09:57+02:00",Lleida,25120
"2017-09-26T15:09:58+02:00",Vilassar de Mar,08219
"2017-09-26T15:10:11+02:00",Lleida,25120
"2017-09-26T15:10:17+02:00",Sant Hilari Sacalm,17164
"2017-09-26T15:10:24+02:00",Castell-Platja d'Aro,17048
"2017-09-26T15:10:25+02:00",Santa Perpètua de Mogoda,08260
"2017-09-26T15:10:30+02:00",Vilafranca del Penedès,08305
"2017-09-26T15:10:34+02:00",Lleida,25120
"2017-09-26T15:10:38+02:00",Valls,43161
"2017-09-26T15:10:45+02:00",Vilanova i la Geltrú,08307
"2017-09-26T15:10:46+02:00",Lleida,25120
"2017-09-26T15:10:49+02:00",Mataró,08121
"2017-09-26T15:10:51+02:00",Vilafranca del Penedès,08305
"2017-09-26T15:10:51+02:00",Artesa de Lleida,25033
"2017-09-26T15:11:04+02:00",Lleida,25120
"2017-09-26T15:11:06+02:00",Badalona,08015
"2017-09-26T15:11:14+02:00",Sabadell,08187
"2017-09-26T15:11:20+02:00",Barcelona,08019
"2017-09-26T15:11:20+02:00",Barcelona,08019
"2017-09-26T15:11:26+02:00",Barcelona,08019
"2017-09-26T15:11:29+02:00",Barcelona,08019
"2017-09-26T15:11:29+02:00",Barcelona,08019
"2017-09-26T15:11:30+02:00",Barcelona,08019
"2017-09-26T15:11:36+02:00",Lleida,25120
"2017-09-26T15:11:38+02:00",Sant Boi de Llobregat,08200
"2017-09-26T15:11:41+02:00",Lleida,25120
"2017-09-26T15:11:44+02:00",Barcelona,08019
"2017-09-26T15:11:46+02:00",Santa Coloma de Gramenet,08245
"2017-09-26T15:11:47+02:00",Lleida,25120
"2017-09-26T15:11:48+02:00",Barcelona,08019
"2017-09-26T15:11:50+02:00",Manresa,08113
"2017-09-26T15:11:52+02:00",Sant Celoni,08202
"2017-09-26T15:11:55+02:00",Torrefarrera,25228
"2017-09-26T15:11:56+02:00",Barcelona,08019
"2017-09-26T15:11:57+02:00",Sant Vicenç dels Horts,08263
"2017-09-26T15:11:59+02:00",Bisbal d'Empordà, La,17022
"2017-09-26T15:12:05+02:00",Barcelona,08019
"2017-09-26T15:12:09+02:00",Vilanova i la Geltrú,08307
"2017-09-26T15:12:13+02:00",Torelló,08285
"2017-09-26T15:12:23+02:00",Sant Feliu de Llobregat,08211
"2017-09-26T15:12:29+02:00",Figueres,17066
"2017-09-26T15:12:33+02:00",Maials,25133
"2017-09-26T15:12:54+02:00",Bràfim,43034
"2017-09-26T15:12:55+02:00",Barcelona,08019
"2017-09-26T15:12:58+02:00",Tarragona,43148
"2017-09-26T15:13:00+02:00",Montgat,08126
"2017-09-26T15:13:02+02:00",Mataró,08121
"2017-09-26T15:13:06+02:00",Manlleu,08112
"2017-09-26T15:13:08+02:00",Barcelona,08019
"2017-09-26T15:13:08+02:00",Argentona,08009
"2017-09-26T15:13:19+02:00",Badalona,08015
"2017-09-26T15:13:20+02:00",Cassà de la Selva,17044
"2017-09-26T15:13:24+02:00",Tàrrega,25217
"2017-09-26T15:13:24+02:00",Vallirana,08295
"2017-09-26T15:13:28+02:00",Rubí,08184
"2017-09-26T15:13:29+02:00",Sant Martí de Tous,08226
"2017-09-26T15:13:31+02:00",Barcelona,08019
"2017-09-26T15:13:34+02:00",Olvan,08144
"2017-09-26T15:13:35+02:00",Llagosta, La,08105
"2017-09-26T15:13:37+02:00",Sabadell,08187
"2017-09-26T15:13:40+02:00",Sant Adrià de Besòs,08194
"2017-09-26T15:13:42+02:00",Lliçà d'Amunt,08107
"2017-09-26T15:13:43+02:00",Montoliu de Lleida,25142
"2017-09-26T15:13:44+02:00",Valls,43161
"2017-09-26T15:13:45+02:00",Badalona,08015
"2017-09-26T15:13:46+02:00",Girona,17079
"2017-09-26T15:13:50+02:00",Barcelona,08019
"2017-09-26T15:13:59+02:00",Castell-Platja d'Aro,17048
"2017-09-26T15:14:00+02:00",Rubí,08184
"2017-09-26T15:14:00+02:00",Barcelona,08019
"2017-09-26T15:14:23+02:00",Reus,43123
"2017-09-26T15:14:24+02:00",Barcelona,08019
"2017-09-26T15:14:24+02:00",Terrassa,08279
"2017-09-26T15:14:24+02:00",Montblanc,43086
"2017-09-26T15:14:24+02:00",Sant Joan de Vilatorrada,08218
